Theta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Theta
8.6,8.142857142857142,8.4,8.285714285714286,8.314285714285715,8.657142857142857,8.771428571428572,8.285714285714286,9.142857142857142,8.885714285714286
6.543478118620041,6.195652039224956,6.391304208884692,9.888888669135808,11.324999716875007,7.214285542517011,6.139999877200003,5.799999884000003,10.28888866024692,6.479166531684031
5.472727173223142,4.830508392703248,5.444444343621401,10.535714097576534,12.199999756000006,5.826922964866866,4.723076850414203,4.83333325277778,11.865384387204148,5.362068873067778
7.29687488598633,4.071428513265307,4.98305076299914,11.49230751550296,11.781249815917972,4.809523733182163,4.039473631059558,6.16666658101852,13.355931977018102,6.690140750843089
7.604938177716813,5.569620182663036,4.523076853491125,12.51388871508488,12.3648646977721,4.0945945392622365,3.611764663391004,7.405063197404264,13.382352744377163,7.765432002895902
8.45054935768627,7.105882269342562,5.662337588800811,12.13953474256355,12.726190324688211,3.935064883960196,3.265957412064283,8.70930222431044,14.597222019483029,8.727272628099175
9.202020109070505,7.415841510734243,6.704545378357439,12.768420918227148,12.81249986653646,3.6071428142006807,2.896226387771449,9.4226803152301,13.670454390108471,9.127450890907344
9.925233552100622,8.114035016543554,8.043010666204186,12.847618925260772,12.953270906978776,3.123711308002976,3.9658119319161376,9.711711624218816,13.485148381335163,9.729729642074508
8.932835754232569,8.456692846797694,7.955357071827169,11.05737695854609,12.330645061849635,2.5041322107096518,4.304964508475429,9.07407400685871,12.578512292739568,9.126865603530854
8.059880191258202,7.660377310312093,7.0337837362582185,8.81699340642488,10.90849666072878,2.883116864395345,4.395348811654949,8.371951168463713,10.838709607492197,8.406060555114784
7.757731918774578,7.390374292030084,6.649717476555269,7.621468883494527,9.885245847621608,3.263736245803647,4.577114405088983,7.663316544405444,9.130434732986767,7.780612205200958
7.573394460672502,7.036529648235025,6.507317041427722,6.363207517154682,9.231132031928622,3.4579439090750284,4.7654867045774925,6.6885964618921205,7.924528264506942,6.65938861720791
7.278225777103929,6.76984124297682,6.286919804696541,5.668067203075348,8.154166632690972,3.5927419209970086,4.754789253813068,6.027667960364949,6.885245873421123,5.754716959416163
6.400709197160606,6.482394343371851,6.036900346727305,5.052434438005864,7.275092909758019,3.663082424146658,4.719178066030212,5.3135888316599695,6.199261969744421,5.187074812288861
5.766773144515102,5.844444425890653,6.112627965485912,4.48172755986137,6.292604481374262,3.7889610266592175,4.788819860904286,4.8412698259007305,5.581395330294368,4.70679010892966
5.420420404142882,5.495522371655158,5.722044710153212,4.20249219874613,5.912386689086445,4.021341451154447,4.917888548627893,4.5522387923813765,5.233644843508895,4.433139521996687
5.113314433106758,5.185915478349534,5.410876116583456,3.956011718604071,5.591428555453061,4.247838604473087,5.088642645183816,4.29577463578655,4.941176456055364,4.201101916801372
4.865229097398305,4.909333320241778,5.102564088026883,3.757660156663899,5.289189174894084,4.379781408798412,5.249999986184211,4.077540096049358,4.666666653703704,3.981723227201767
4.628205116337935,4.648989887250026,4.827493248443415,3.568783059341844,5.005115076713261,4.142118852345946,5.319201981747626,3.8705583658107656,4.4094488073242815,3.79353232887181
