Firm Profits,Firm Profits,Firm Profits,Firm Profits,Firm Profits,Firm Profits,Firm Profits,Firm Profits,Firm Profits,Firm Profits
5.136298746236066,6.478906137024527,5.240516805251637,7.486783672024088,4.385387764590783,5.55588122627374,6.2805018477521415,4.570637505984164,5.910630195118985,5.969242872654832
257.41500000000326,254.2805999999941,257.41500000000326,255.84539999999845,253.50000000000213,255.06240000000705,248.06939999999705,251.942399999996,253.50000000000213,252.7206000000029
245.759999999996,240.413399999996,241.93500000000503,246.5286000000034,241.93500000000503,244.22640000000192,236.6303999999972,240.413399999996,239.6544000000044,241.17359999999763
228.4133999999957,230.63999999999584,229.15439999999887,234.375,226.1976000000042,235.125600000003,226.93499999999787,231.38460000000487,227.67360000000232,231.38460000000487
216.72060000000167,222.5286000000024,221.79840000000377,224.72640000000249,217.44240000000335,226.1976000000042,216.72060000000167,217.44240000000335,220.34160000000395,220.34160000000395
209.56860000000327,209.56860000000327,215.28059999999985,211.70159999999825,207.44640000000211,221.069400000003,204.63359999999608,210.9893999999965,203.93340000000268,214.5624000000035
200.4503999999962,203.93340000000268,202.53660000000156,207.44640000000211,195.6246000000017,210.9893999999965,197.68559999999985,200.4503999999962,194.25659999999735,206.0376000000015
191.5349999999967,194.94000000000207,191.53499999999667,200.4503999999962,186.14940000000303,201.8400000000025,184.814999999996,194.25659999999735,187.4885999999969,200.4503999999962
183.48539999999704,182.8223999999996,181.4999999999998,190.1814000000001,180.1824000000042,194.25659999999735,178.21499999999688,186.14940000000303,174.31259999999963,192.21360000000183
173.66640000000135,178.21499999999688,171.09360000000353,178.21499999999688,168.53999999999914,183.48539999999704,169.17659999999665,176.2583999999969,162.23999999999774,180.1824000000042
166.63740000000246,169.17659999999665,160.37339999999804,169.17659999999665,161.61660000000157,176.2583999999969,159.75359999999858,166.00560000000283,153.0150000000009,168.53999999999914
157.28640000000163,159.75359999999858,153.6215999999991,161.61660000000157,154.22940000000034,166.63740000000246,153.0150000000009,160.37339999999804,145.23839999999913,155.44859999999974
148.80239999999682,153.6215999999991,143.47259999999804,153.0150000000009,144.05999999999847,157.90139999999738,144.64859999999888,151.20239999999973,137.66459999999694,147.60959999999983
137.66459999999694,147.0150000000003,134.237400000002,137.09040000000255,141.1350000000012,152.4095999999988,137.66459999999694,144.64859999999888,130.2936000000012,143.47259999999804
130.85340000000312,138.8165999999997,128.06639999999783,130.85340000000312,134.237400000002,145.23839999999913,131.41439999999824,137.09040000000255,125.85839999999872,134.80560000000207
124.215000000003,130.29360000000122,118.81499999999863,123.12540000000274,128.62140000000002,134.237400000002,123.12540000000274,127.51260000000202,116.15999999999744,126.95999999999772
116.15999999999744,122.04060000000187,109.91040000000083,117.21839999999892,119.88540000000094,129.73499999999768,117.21839999999892,118.81499999999863,112.49340000000194,122.04060000000187
