Firm Profits,Firm Profits,Firm Profits,Firm Profits,Firm Profits,Firm Profits,Firm Profits,Firm Profits,Firm Profits,Firm Profits
26.580662056748157,24.336842395762307,6.843801123397077,22.006182508601672,107.82020218263638,2.9453255187277723,4.5994396159227104,733.9505770568205,3288.136539379637,21.15861817706913
8383.233599999996,8306.499600000003,8306.499600000003,8204.7364,8332.038400000007,8280.999999999996,8357.616400000004,8408.890000000007,8179.393600000002,8204.7364
8028.159999999991,8003.091600000005,8028.159999999991,8003.091600000005,8053.267599999992,7953.072400000008,7903.209999999993,8230.118399999996,8053.267599999992,7754.563599999994
7607.328400000005,7729.92640000001,7656.25,7607.328400000005,7779.239999999992,7607.328400000005,7631.769600000006,7903.209999999993,7680.769599999994,7437.337600000001
7365.072400000005,7534.240000000001,7293.159999999993,7269.267600000002,7631.769600000006,7103.118399999995,7221.600399999992,7656.25,7341.062400000007,7245.414399999993
7126.736399999993,7197.825599999991,6985.6163999999935,7009.038400000005,7389.121599999999,6799.651600000005,6962.233599999994,7293.159999999993,6962.233599999994,6753.552399999993
6915.585599999996,6869.094399999995,6730.561600000006,6638.990400000008,7174.089999999991,6570.723600000006,6799.651600000005,6985.6163999999935,6616.195599999995,6435.2484
6707.610000000008,6707.610000000006,6435.2484,6190.542400000003,6962.233599999994,6345.715599999997,6525.408400000003,6753.552399999993,6390.403599999994,6146.56
6390.403599999994,6502.8096000000005,6102.734400000005,5928.999999999997,6730.561600000006,6059.065599999997,6234.681600000007,6502.8096000000005,6190.542400000003,5864.496400000004
6146.56,6256.809999999997,5800.345599999995,5505.639999999998,6548.046400000007,5736.547599999995,6124.627599999997,6124.627599999997,5843.073599999995,5381.689599999998
5779.040399999998,5885.958399999996,5610.009999999998,5279.475600000005,6146.56,5320.2436000000025,5843.073599999995,5800.345599999995,5568.144399999998,5097.959999999998
5484.883599999999,5526.435600000001,5259.1504,5077.987600000004,5950.579599999996,5058.054399999996,5631.001599999995,5464.1664000000055,5320.2436000000025,4802.489999999994
5259.1504,5320.2436000000025,5038.160400000001,4860.8784000000005,5715.360000000006,4763.7604,5340.686400000003,5340.686400000003,4978.713599999996,4572.464399999995
4860.8784000000005,5077.987600000004,4802.489999999994,4667.6224,5402.250000000003,4478.286399999999,5117.971600000005,5038.160400000001,4705.960000000003,4348.083599999998
4534.675599999996,4841.376399999995,4497.043600000002,4385.088399999997,5097.959999999998,4022.096400000004,4900.0,4841.376399999995,4385.088399999997,4093.440400000003
4348.083599999998,4610.410000000001,4219.8016000000025,4201.632399999996,4783.1056,3846.480399999997,4763.7604,4572.464399999995,4111.374400000001,3777.331600000002
3969.000000000004,4385.088399999997,3986.6596000000022,3863.8656000000033,4534.675599999996,3590.406400000001,4553.550399999996,4329.639999999998,3829.134399999999,3590.406400000001
3777.331600000002,4075.545600000004,3708.809999999996,3624.039999999997,4348.083599999998,3440.995599999998,4292.870399999997,4039.873600000005,3725.881600000002,3294.759999999997
3590.406400000001,3811.827599999998,3440.995599999998,3507.008399999997,3986.6596000000022,3199.0336000000016,3986.6596000000022,3829.134399999999,3490.446399999998,3042.625599999998
3278.707600000001,3624.039999999997,3135.9999999999973,3246.7204000000024,3760.142399999997,2981.16,3657.830399999995,3573.6484000000014,3391.8975999999984,2890.137600000002
3027.200399999999,3440.995599999998,2981.16,3011.814400000002,3523.6096000000025,2770.9695999999976,3375.610000000004,3214.8899999999976,3167.4383999999977,2726.9283999999984
2830.2400000000016,3151.699600000001,2845.1555999999987,2815.3636,3326.9823999999976,2512.0143999999987,3214.8899999999976,2965.8916000000017,2996.467600000004,2554.2916000000014
2639.9044,2830.2400000000016,2683.24,2639.9044,3073.593600000002,2373.638400000002,2875.104400000001,2741.5696000000016,2830.2400000000016,2387.2996000000035
2428.5184,2654.3104000000017,2512.0143999999987,2387.2996000000035,2770.9695999999976,2186.497599999999,2756.25,2540.1599999999994,2712.3264,2252.4515999999976
2173.4243999999994,2512.0143999999987,2305.9204000000004,2239.182400000001,2512.0143999999987,2095.808399999999,2512.0143999999987,2346.4336000000003,2470.0900000000024,2095.808399999999
2032.2063999999984,2428.5184,2147.3956000000017,2044.8484000000003,2360.016399999997,1982.0303999999987,2373.638400000002,2134.439999999998,2279.1075999999985,1932.481600000002
1920.1923999999983,2225.952400000003,1944.809999999998,1895.7315999999996,2186.497599999999,1871.427600000001,2239.182400000001,1957.1776,2032.2063999999984,1787.5984000000014
1763.9999999999989,2057.529599999999,1835.2656000000015,1694.145600000001,2095.808399999999,1717.2735999999989,2032.2063999999984,1787.5984000000014,1883.56,1580.857600000001
1536.64,1859.3344,1717.2735999999989,1580.857600000001,1932.4816000000023,1603.2016,1823.289999999998,1603.2016,1728.896399999999,1460.7683999999988
1376.4099999999994,1728.8963999999992,1514.7663999999993,1493.0495999999987,1763.9999999999989,1460.7683999999988,1603.2016,1460.7683999999988,1503.8884000000014,1294.5604
1215.2196,1558.6704000000018,1355.7124000000003,1397.264399999999,1592.0100000000014,1294.5604,1439.443600000001,1386.817599999999,1397.264399999999,1147.8544000000006
1018.886400000001,1450.0863999999988,1215.2196,1335.1716000000008,1397.264399999999,1119.5715999999998,1355.7124000000003,1274.4899999999996,1264.513599999999,992.250000000001
914.4575999999988,1284.5056,1110.2223999999992,1166.9056000000005,1254.5763999999997,1018.886400000001,1234.8195999999998,1166.9056,1128.96,931.4704000000004
799.7584000000004,1119.5715999999998,983.4496,1018.886400000001,1082.4099999999994,940.0355999999992,1110.2223999999992,965.9664000000008,1027.8436000000002,839.840400000001
707.5600000000004,983.4496,864.3599999999996,897.6016000000003,965.9664000000008,823.6899999999993,948.6400000000002,839.840400000001,931.4704000000004,799.7584000000004
614.0483999999997,847.9743999999996,776.1796000000003,807.6963999999992,815.6736000000006,722.5344000000003,815.6736000000006,730.0803999999991,807.6963999999992,692.7423999999994
540.0976000000007,745.29,656.3844,700.1315999999995,730.0803999999991,621.0063999999994,685.3924000000005,663.5776000000003,678.0816000000002,579.8464
464.8336000000001,642.1155999999997,593.4096000000005,573.1236,649.2303999999996,559.7956000000005,579.8464,600.2499999999999,607.1296,514.3823999999997
367.8723999999997,514.3823999999997,533.6099999999994,514.3823999999997,520.7524000000004,495.5075999999997,514.3823999999997,520.7524000000004,470.89,423.5364000000002
316.1283999999998,389.6676000000005,417.7935999999996,423.5364000000002,417.7935999999996,412.0900000000004,429.3183999999997,435.1395999999996,389.6676000000005,341.51040000000035
