Firm Profits,Firm Profits,Firm Profits,Firm Profits,Firm Profits,Firm Profits,Firm Profits,Firm Profits,Firm Profits,Firm Profits
22.84829075946468,5.662732489555937,1214.691169204885,8.919029771024105,7.949570101284953,4.975376769828427,5.587825880439871,2.630081240151496,5.475085939655131,2.460427777932727
1919.6535999999949,1949.4846000000043,1937.524600000004,1931.5583999999956,1967.493599999992,1973.5149999999976,1949.4846000000043,1955.478399999995,1890.0525999999927,1979.5455999999929
1872.4024000000068,1837.350400000004,1831.5406000000064,1837.350400000004,1907.7855999999977,1884.160000000008,1901.8653999999967,1848.9975999999945,1814.1664000000087,1925.601400000004
1751.1693999999932,1785.393400000008,1773.9485999999952,1739.8349999999962,1819.948599999998,1785.393400000008,1814.1664000000087,1785.393400000008,1734.1816000000074,1814.1664000000087
1661.5245999999956,1717.276600000003,1717.276600000003,1667.058399999997,1762.5406000000078,1711.6599999999944,1751.1693999999932,1706.0526000000075,1661.5245999999956,1739.8349999999962
1563.4893999999945,1650.4845999999948,1655.9999999999957,1585.0174000000034,1678.153599999997,1623.045599999992,1717.276600000003,1628.5150000000042,1590.4223999999988,1672.601399999996
1484.070400000004,1617.5854000000045,1617.5854000000045,1510.3133999999964,1606.6925999999974,1547.440000000003,1644.9783999999945,1585.0174000000034,1536.786399999997,1617.5854000000045
1411.8136000000038,1558.130399999996,1520.8749999999934,1386.4446000000034,1547.440000000003,1432.2744000000043,1547.440000000003,1499.788600000007,1473.6375999999964,1568.857600000001
1341.3599999999992,1499.788600000007,1447.7166000000004,1341.3599999999992,1463.2415999999953,1376.361399999997,1473.6375999999964,1401.6384000000014,1427.1454000000024,1489.300599999994
1301.910399999998,1458.0574000000038,1401.6384000000014,1282.406399999995,1401.6384000000014,1326.4974000000022,1422.0256000000031,1341.3599999999992,1361.305600000001,1437.4126000000028
1243.84,1371.3335999999963,1336.3965999999934,1215.3016000000018,1326.4974000000022,1267.8750000000027,1346.332600000004,1272.7096000000038,1301.910399999998,1371.3335999999963
1196.4599999999982,1306.8094000000026,1277.5534000000016,1145.4045999999998,1253.426399999994,1220.0350000000035,1272.7096000000038,1205.8623999999973,1243.84,1297.020599999997
1131.6736000000014,1239.060599999997,1210.5774000000065,1059.840000000003,1177.7656000000013,1159.218400000004,1201.1565999999982,1122.565600000003,1168.4735999999996,1243.84
1090.9773999999995,1191.7725999999982,1154.6045999999972,994.6349999999984,1104.4599999999975,1077.5775999999964,1113.4943999999955,1073.129399999999,1099.956599999997,1177.7656000000013
1029.153399999997,1131.6736000000014,1108.9725999999987,931.500000000004,1033.5096000000017,960.7054000000016,1051.0264000000004,1020.4686000000028,1042.2495999999967,1136.241399999998
960.7054000000016,1077.5775999999964,1059.840000000003,850.5400000000008,973.360000000002,902.7454000000022,1016.1399999999971,960.7054000000016,977.5965999999974,1077.5775999999964
898.674400000003,1037.8750000000034,1020.4686000000028,815.3086000000017,923.238399999997,834.7895999999993,960.7054000000016,906.8256000000016,943.9613999999954,990.3616000000038
826.9696000000014,969.1325999999948,948.133600000004,761.9854000000017,874.4416000000001,788.4215999999983,910.915,866.4375999999965,894.6126000000033,910.915
