Theta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Theta
34.17142857142857,33.82857142857143,35.48571428571429,33.714285714285715,34.628571428571426,34.285714285714285,32.857142857142854,33.51428571428571,35.74285714285714,35.05714285714286
27.813952841535983,26.90909029752068,38.79166585850696,24.081632161599344,25.78723349388865,25.531914350384803,24.46808458578544,29.32499926687502,29.785713576530632,25.56249946744793
33.14545394280993,20.413792751486334,31.559321498994557,29.80327819994626,20.542372533180128,21.05263120960296,19.491525093363983,23.93877502165765,24.05769184504439,21.91071389445154
28.93650747719829,18.499999710937505,27.382352538494818,32.702702260774295,24.36986267986489,17.391304095778203,16.197182870462214,19.881355595231263,27.666666247474755,19.476190167044603
24.972602397635583,23.54666635271112,23.274999709062502,26.59340630117136,30.08749962390625,24.63013664890224,22.423076635601586,17.249999746323535,30.29999962125001,16.58108085701242
22.231707045954792,26.155555264938275,20.02150516105909,24.444444197530867,25.60638270631508,29.246913219173912,25.15957420043006,15.434210323234074,27.545454232438026,14.267441694564631
20.25555533049383,23.777777537598208,18.999999806122453,22.616822218534374,22.49532689256704,26.61797722901149,29.147058537773937,12.890109748460333,24.239999757600003,12.64948440567542
17.872548844386777,21.79629609447874,17.401868996244215,20.166666498611114,21.300884767248807,23.9292926875829,27.02727248157025,11.278846045395712,21.837837641100563,11.912621243566784
15.191666540069448,17.96946551168347,14.323076812899409,17.2857141622449,18.658914584039422,18.80158715236836,23.5952379079743,13.742187392639162,18.225563772740124,9.661417246760497
12.31756748434076,14.26666658020202,11.637499927265626,13.749999921875,14.95031046614714,14.9936707911793,19.431372422017173,11.203821584689036,14.514969972964252,11.39240499118731
10.29943497005969,11.76999994115,10.010752634350792,11.862745039888503,12.47150252605439,12.6010637627603,16.070270183403945,9.4569891964678,12.1199999394,13.086956450614368
8.806763242479406,10.234782564196598,8.42533932839213,10.521739084688091,10.60352418236333,10.967592541816702,13.892523299567648,8.105990746055342,10.539130388960302,11.412322220794682
7.595833301684028,9.231372512818147,7.477911616554572,9.343629307553554,9.439215649257978,9.55241931632089,12.184426179572023,7.268595011286798,9.395348800793222,10.117647016312407
6.6776556531954006,8.407142827117347,6.697841702525749,8.259385637339982,8.53546096264021,8.614545423219836,10.771739091406742,6.466911740930471,8.30136983458435,9.018726557982298
5.9575163204002735,7.642857118042672,6.124999979851974,7.634069376548677,7.665605071128646,7.844370834952414,9.68403905640378,5.824503291971843,7.670886051674412,8.107744080445306
5.592024522723851,7.198776736395178,5.764705864505554,7.202380930945295,7.24999997816265,7.357142834294588,9.09174309146256,5.496874982822265,7.235820873922923,7.620253140442237
5.299418589245876,6.8034681884292825,5.444444428525016,6.797752789893953,6.838068162391852,6.926900564541226,8.592485524299175,5.173529396548443,6.847457607775543,7.166666645337302
5.022038553658296,6.431693971498104,5.143646394630811,6.436170195648484,6.48787060245857,6.5805555372762345,8.145205457136424,4.88611109753858,6.498659500003594,6.764044924820099
4.747395820970324,6.114285698404453,4.861618786262092,6.1111110956790125,6.140306106784934,6.217847752709061,7.722077902020577,4.628947356239612,6.152284248344456,6.404255302116343
4.490147772191754,5.783783769573013,4.643391509617477,5.803357300231757,5.814009647792247,5.878411896083345,7.322660080486059,4.386533654896425,5.855072449625429,6.050251241079771
4.2593457844407805,5.499999987149533,4.401891242548721,5.55045870286592,5.520642189172839,5.613744062526673,6.9625292576989946,4.158392425157465,5.559633014771484,5.73333331968254
4.060133621246918,5.254464273985571,4.184269653518495,5.295404802417058,5.244008703172095,5.3235954936548415,6.621380831578216,3.943946179497879,5.281045740128441,5.460317447935788
3.8704883145000246,4.987288125026932,3.970149245266206,5.041666656163194,5.004157993754349,5.061965801149646,6.285412248868051,3.766595281013714,5.029045632719822,5.200863919652562
3.6828282753882258,4.755555545948373,3.776876260087472,4.811133191230351,4.785288260864238,4.815040640619836,5.993951600818646,3.582484717754613,4.799999990495049,4.954732500093143
3.519305012510994,4.535645463322456,3.601547381815189,4.600760447527072,4.576045618676719,4.5910852624203775,5.728323688384733,3.4221789816689125,4.599620484630702,4.730844784418773
3.3634686284806854,4.327205874398518,3.4417744853201957,4.392014511085273,4.36842104470341,4.403345716722406,5.465073519365673,3.275605208052877,4.391304339870826,4.509363287435649
3.2208480508465582,4.129824554158202,3.2897526443643947,4.201388881594811,4.17157711582049,4.207815267836918,5.215789464533703,3.1410714229623724,4.215652166581474,4.307692299986239
3.079391886690217,3.949664422903248,3.145270264957314,4.019933548139646,3.998338863790135,4.02891155777396,4.988255025187492,3.0017064795192723,4.039999993266667,4.1232876641724525
2.954619120008721,3.790660219338712,3.012944978943455,3.853503178577225,3.832802541667512,3.870915026354714,4.787439605817328,2.87418300183957,3.872204466657821,3.9540229820130985
2.8351477405363177,3.638330751718191,2.891304343336484,3.700305804739594,3.680428128929009,3.713166138380618,4.602167175538441,2.770078735795152,3.7235022984278,3.792125978280117
2.720895518327022,3.4925815971920158,2.774962738040294,3.5588235241782007,3.534508071168123,3.578549843536934,4.4175334258283305,2.6611195118591238,3.5752212336648657,3.642965198724713
2.623021578959681,3.353276348499606,2.6638054325267446,3.4229137151019606,3.39492242116372,3.433333328357488,4.24108415942784,2.552975322854898,3.4382978674634077,3.4999999949127907
2.521438447411565,3.2290809283551702,2.564738288478322,3.2925170023231063,3.265943007780267,3.3040446257963114,4.089408522573028,2.4567039071833743,3.311475405312192,3.3631284869230047
2.46684708732497,3.155495974322392,2.506056524217959,3.2180851021036103,3.1965471405092334,3.231923597227935,4.006738539074476,2.399727145430113,3.240641706897538,3.2896174818447848
2.4436997286277484,3.122015910978759,2.489304809506277,3.1926121329912767,3.167105258990651,3.2056833515484664,3.963999994714667,2.3802435691742305,3.206349202108004,3.254054049656684
2.414569533225736,3.081151828427812,2.4629629597050755,3.1551499306973274,3.1382007781770525,3.1713520707210816,3.911842100115997,2.3516042749310104,3.1686274468383955,3.2106666623857776
2.386125651327061,3.0492227939776906,2.433986924922893,3.118556697012169,3.0978120938252096,3.1335978794529127,3.8660598129179977,2.320580471872585,3.127741931448075,3.1725955162416395
2.3583441107912755,3.0102301751787337,2.405684751413844,3.0867346899403896,3.0584498055165823,3.0967320220957752,3.821336756013706,2.290364580351088,3.091836730750208,3.1354166625840927
2.334186936832027,2.9722222184694163,2.37197451927137,3.0478589382268777,3.0238693429348373,3.0567741896041625,3.782442743279335,2.263835260921705,3.049056599938293,3.0990990951105544
2.3017676738614044,2.935162091103289,2.3391959769608093,3.0099502450124995,2.9900621080868794,3.017834391060084,3.7396226368055054,2.237913483157871,3.011180120483006,3.0558375595738103
2.2702366098751723,2.899014774754908,2.3044554426925057,2.9656862708753846,2.9533742295050622,2.972396483096115,3.6840148653234017,2.2042606488668413,2.9705882316536907,3.0099999962375
2.2368098132063685,2.856796113037869,2.270731704547888,2.9227053104798246,2.914043580007211,2.93193068944068,3.63447432318524,2.171604935590611,2.9275362283483863,2.9655172377271954
2.204353080768618,2.8157894703160413,2.2406738841869145,2.880952377522676,2.8688915341252783,2.889024386720702,3.57761732421466,2.137302549043375,2.8857142822789115,2.925880919895649
2.170238092654478,2.775943392952897,2.21140142255178,2.837045717658797,2.825117367576153,2.8507821867018266,3.52251184416764,2.106586823824447,2.841735049423523,2.88383233187565
2.1472320351622707,2.7403958058901097,2.1828839364796204,2.797687858037355,2.789107760383421,2.810201657401896,3.477192978389248,2.076741437925925,2.805555552308385,2.842975203255047
2.11730545630975,2.705747123326728,2.152601153580808,2.759407066408886,2.754004573508004,2.770760230677473,3.4290657399895434,2.047729916126042,2.7671232845124165,2.8098016303269526
2.088201601273538,2.671963674606171,2.1255707738292573,2.725225222156278,2.7197740082262443,2.73556581670258,3.382252555879121,2.0241657053807067,2.7297297266557097,2.771001147559262
2.057562074427131,2.6360582277311777,2.096846844485533,2.6918798635240493,2.6833890717019075,2.7043378964562352,3.3404494344489333,1.9988636340922004,2.696329251728221,2.7332576586455644
2.678173716394016,2.6039822980044445,2.068888886590124,3.341034099734836,2.6479647935665955,2.6677927897885216,3.978935694036657,2.652466364739388,2.6608122912614576,2.696528552411502
3.3197802161321097,3.1825136577240287,2.728869371318475,3.931596086936378,3.25841476302018,3.3266666629703705,4.629102839574286,3.306415925546,3.2946912206991428,3.316022095783401
