Theta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Theta
17.571428571428573,16.685714285714287,17.6,17.914285714285715,17.65714285714286,17.34285714285714,16.0,16.942857142857143,17.314285714285713,16.885714285714286
13.085106104572212,19.522726829028937,13.391304056710782,14.581395009735,12.359999752800006,22.899999427500017,13.023255511087084,13.790697353704712,14.780487444378355,12.574467817564516
9.919354678720088,21.407407010973944,10.999999803571432,13.062499727864587,11.035714088647962,22.181817778512404,11.199999776000006,12.61702100814849,12.893616746944325,14.74193524609782
7.987012883285547,22.02985041746492,14.532257830124877,15.274193302029142,9.50769216142012,19.999999672131157,10.370370178326478,9.883333168611117,10.631578760849496,15.99999978666667
10.303370670748643,23.38157863971607,17.154929335846067,17.757142603469394,13.357142666326531,16.712328538187283,8.749999863281252,8.236110996720681,9.619047466364329,16.921348124479234
13.3586955069707,21.409638296269417,18.621950992415236,20.024999749687503,14.160919377460695,14.18604634667388,7.671232771626949,10.45783119930324,12.647887145804408,15.525773035816773
14.86407752559148,19.74444422506173,20.222221997530863,20.031914680511548,16.576086776346884,12.577319457965778,10.313252887792132,11.979166541883682,14.637499817031252,13.095652060037809
16.627272576115704,16.76415078524386,17.669902741068906,17.598130676652985,15.561224331007915,11.619047508390024,11.824742146136678,13.372727151157026,15.526315626038784,12.34426219389949
16.679687369689944,13.992125874077749,15.04132218974114,14.7109373850708,12.603305680964416,9.75999992192,12.443478152665408,13.218045013398156,15.22222209211776,10.17567560692111
13.343749916601563,11.318471265487444,11.895424758853434,11.69565210126924,10.304053984432068,7.672955926585183,11.780821837117658,10.851851784865111,12.033783702474434,8.366666620185185
11.478494561943576,9.605405353484295,9.732620268809518,9.910526263628809,8.472222175154322,6.630434746573724,9.297297247041636,9.156249952311198,9.785714231946626,7.171428537278912
9.9766354673989,8.188940054428848,8.54460089885164,8.331858370213016,7.331730733982064,5.781990493924216,7.889908220688494,7.883408036397274,8.245370332197359,6.274999973854166
8.608870933028747,7.023715387258042,7.368421022799915,7.270270242199729,6.380753111377602,5.020576111026436,6.963562724843876,6.840466899453436,7.390041463111861,5.726235719672108
7.597864741644609,6.392086307942136,6.546762566378552,6.493103425885851,5.711610465499587,4.341636995225491,6.300366277288036,6.083044961650364,6.59629627186557,5.070707053633983
6.84294869601619,5.76948050074844,6.026490046269901,5.958860740636517,5.1694915079000285,3.948220051947508,5.620915014310735,5.580952363235072,5.956521719208958,4.633846139588166
6.450151037914952,5.417682910311942,5.669781913801303,5.65465463767371,4.872204457277302,3.708206675658946,5.276073603447627,5.263473038133315,5.600628913205569,4.365217378651544
6.099999982571429,5.121037449218912,5.368731547584863,5.334277605285332,4.593373480140442,3.505747116362796,4.971098251528618,4.980169957563258,5.269230753641329,4.148760319149421
5.770270254674945,4.855191243565051,5.083798868481009,5.048257359119954,4.332386351328448,3.3242506721410066,4.699453539072532,4.713136716586765,4.988795504233066,3.932114872239909
5.488431862497604,4.591731254284932,4.802110805271475,4.791348588317179,4.099462354571338,3.1524547722158798,4.444444432960092,4.46192892268546,4.711640199175555,3.727722763050191
5.207317060469959,4.355392146187764,4.538653355265204,4.559322022858784,3.8705583658107656,3.0049261009730883,4.205378962823034,4.225961528302977,4.45249998886875,3.535211259307016
4.942129618189515,4.132558129924283,4.302600462641607,4.328735622232792,3.665865375803208,2.850467283059656,3.990719248281394,4.03211008249516,4.240476180379819,3.3691275092413253
4.702643161447923,3.948888880113581,4.080717479639647,4.12938595585661,3.473804092314797,2.7171492144384204,3.788546247161793,3.846827125061648,4.029411755589567,3.204255312331372
4.466527187308521,3.748945139770158,3.888888880579297,3.922916658493924,3.3008657937210697,2.595744675328203,3.6058700134048847,3.65488564728714,3.82188840381569,3.0547667280836377
4.252988039336677,3.568273085204271,3.706720970047412,3.743538759953203,3.1378600758480246,2.469635622531102,3.446893780667548,3.4880952311744142,3.634693870133278,2.91860464550658
4.066666658920635,3.404214552865489,3.54085602423958,3.5798479019394525,3.007889540418364,2.3552123506656133,3.295019150775825,3.329545448239497,3.4649805380058742,2.794063074593575
3.9102564030947686,3.2486288788873328,3.3766233703587694,3.417422861311392,2.871939730937967,2.2550831751292364,3.155963296961535,3.1847826029261186,3.310408915779909,2.6749555902753896
3.7325174759921023,3.101221635076402,3.2212389323517896,3.2690972165467063,2.747747742796851,2.155477027993857,3.0122591891203867,3.041522486087332,3.163410296334973,2.556876056779497
3.5702341077420834,2.9715719013853312,3.0847457574834816,3.1279069715483274,2.6247848491828143,2.067796606664752,2.8810720219747536,2.9105960216711986,3.023769095036046,2.4527687256469566
3.421474353491227,2.852327443254691,2.9641693762798544,2.9984076385375675,2.512355844295954,1.9805194773043515,2.7608346665155143,2.790476186046863,2.895934954640756,2.3568075080488144
3.2947530813352577,2.7422839463853643,2.8526645723312467,2.879204888563907,2.416798728341048,1.903276128076012,2.650231120723835,2.679878044695308,2.7915360457812914,2.268072285740855
3.162962958277092,2.636498512408756,2.740963851293729,2.769117642986592,2.3211567696786046,1.8290854545291075,2.5481481443731138,2.5777126061910374,2.690332322220042,2.179450069204848
3.036984348453792,2.538571424944898,2.633863961456058,2.663366332866526,2.22953216048314,1.7604617579214117,2.450142446652219,2.4795486565873786,2.5849056566256814,2.0945757968086567
2.9286694061335123,2.4409340625811344,2.5383542502951824,2.565395091872759,2.141853929576048,1.6920943111066653,2.359396430234024,2.3885869532763766,2.487430164123701,2.01876675332605
2.8619302910697986,2.3852348961272014,2.4829467906098954,2.5106666633191117,2.091906718666795,1.6531165289253165,2.3056300237189946,2.337765954338077,2.429740787953969,1.9763779501622336
2.8315649829820093,2.3661784256109475,2.459459456135866,2.487450459065456,2.074829929149891,1.6397849440325472,2.2811671057278957,2.3223249639071004,2.4067567535043826,1.9533073904626364
2.798165133947359,2.3412384685886187,2.433155076961022,2.4550195535136643,2.049731180040684,1.622340423374547,2.2542594990114555,2.2980392126823017,2.377837112980191,1.928297052588608
2.761966361239371,2.322875813957025,2.401055405803357,2.4234234203044744,2.025232401028908,1.6010498666652888,2.225097021701038,2.2683870938472426,2.3496042185361423,1.9039190873528204
2.726692205968465,2.2929032228478667,2.37597910916974,2.3926302383829348,1.9986893813909707,1.5803108787819806,2.196679435253283,2.2394904430070186,2.319010413647122,1.8801498103868293
2.6923076889126007,2.260814246487514,2.345360821719896,2.359649119850064,1.975388598477476,1.5601022997952656,2.1689785596860296,2.2113207519354456,2.286264438656913,1.8569667054784629
2.6554726335130936,2.226817039816019,2.3155216255527717,2.3304455416702408,1.952624837448624,1.5404040384590858,2.13930347992624,2.1811414364998245,2.251580275282452,1.834348353429539
2.6196318986262184,2.1938271577853987,2.280701751527942,2.29914529633804,1.9230769206518576,1.5174129334360535,2.1078431346717608,2.1491442516514128,2.2179327494172694,1.8144578291392075
2.58162031126769,2.161800483988077,2.246913577472946,2.265944642279248,1.896766166795067,1.4969325135006963,2.077294683481528,2.1206272592031032,2.185276070938312,1.7885985726976263
2.544696063713116,2.1332532987596,2.2141119194475523,2.2363420400993563,1.8688725467293228,1.4734299499113166,2.045184301967676,2.090368606313474,2.1535671074322043,1.7614035067118088
2.5088131580389974,2.102958577392948,2.179640715952526,2.207502928244428,1.839565739638642,1.4506539816282356,2.0164126588318725,2.060961310596763,2.12276519413258,1.741040460414982
2.473928154723142,2.0735122496225062,2.148760328041605,2.1768786102001405,1.8133174770352944,1.431924880948445,1.990740738436643,2.032369939846971,2.092831959937918,1.723112126174929
2.439999997211429,2.0495963067478704,2.1236872787354875,2.149543376541617,1.787807735301515,1.413673231270367,2.345142854462694,2.006849312777569,2.063731167944692,1.6997742644472074
2.7370203129379003,2.0239179931390456,2.094361332457582,2.457207204440082,1.7650462942534186,1.394285712692245,2.6546275365071925,1.984198643358692,2.37299770895538,1.6770601317627394
3.035674467072827,2.349438199607373,2.4249999972443184,2.747777774724691,1.740867577921384,1.719278464803519,2.929765883021443,2.3076923051196294,2.691176467543918,1.9823982376431264
3.334801758441848,2.6784922364983457,2.7418630721191213,3.058177823207269,2.058624574905722,2.018930955435489,3.227373064870449,2.624449336316686,2.99329608604101,2.2909880539728684
3.60760869173086,2.9791894819505043,3.04545454207821,3.3362255929108184,2.3626251364153226,2.3252747227194783,3.5217864885383587,2.91838955068728,3.283977896923781,2.575562698204113
3.869892468957105,3.2651515116178014,3.3088718474163508,3.609207704915195,2.6714285684929355,2.603466952758974,3.8071120648630257,3.223415678599983,3.5840611314584487,2.8583509483526948
4.20645160838016,3.571736781476012,3.657894732831256,3.912393158213255,3.0507726235642685,2.8869752390882937,4.156989242841947,3.533261798784054,3.911062902482578,3.1501057049153216
4.537216823584448,3.882669532957298,3.9868565126102338,4.225874862963017,3.3607456103500595,3.250810807296421,4.453961451334089,3.825159910634158,4.188577581693343,3.4687168574032694
4.867027021765376,4.193756723149885,4.265505980124585,4.549893838057438,3.682713343891999,3.538709673614291,4.7662061585906415,4.140724942280677,4.519354833850156,3.796394481658118
5.192224616423084,4.494646676129928,4.560606055670339,4.858500522852692,3.989130430446597,3.856989243164528,5.088016961730629,4.456382973982572,4.815368191232264,4.1337579573951615
5.444325475969673,4.784877524190759,4.863930880276532,5.143157889322992,4.335886209698155,4.167561757070288,5.373812032340219,4.769639060754098,5.141188954202559,4.402323121011275
5.784796567682231,5.050847452276645,5.153763435318534,5.47679324316794,4.628664490088312,4.467741930679847,5.657534240613768,5.098726109237021,5.438559316272713,4.7420382115264985
6.056382972280444,5.425531909121775,5.4843918132568446,5.766631461703662,4.884698270598386,4.782422288550459,6.004219402949135,5.416135875354421,5.801275232942322,5.014767927199612
6.318901788470009,5.732767756380946,5.762820506663654,6.058947362043213,5.175268811639496,5.083155644900687,6.273584899084293,5.698093214302867,6.097457620659473,5.334038049329769
6.6308016807691965,6.022175284031494,6.08839189979937,6.360672969126527,5.459488267100759,5.40405116694664,6.593521414217846,5.976817696547084,6.418604644377797,5.652219867175243
6.930745008467214,6.328075703125052,6.399361015549136,6.658638736483101,5.769722808347844,5.671594502986701,6.9452631505839335,6.265756295939331,6.749471451639036,5.946202525373204
7.215031307708736,6.625393487276607,6.678986265386498,6.979013633810059,6.046610163086218,5.942287506881126,7.2610526239357345,6.58385743544669,7.093121685615745,6.222689069093814
7.520876818871736,6.948475281862802,7.003167891232136,7.316176462903176,6.3516367409169625,6.245026171471177,7.529350096929402,6.8813025137801445,7.373949572086188,6.474505716467736
